Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iron and Steel Production,All,OR,CO2e,1436.142515,1305.888191,1332.651835,1284.991447,1294.616535,1349.900306,1332.95233,1359.157332,1054.951377,804.8548209,808.4309017,530.9561186,321.495398,344.018738,373.7036359,350.6970778,428.5296288,486.9722759,473.1205588,336.0129784,30.83439054,31.05167932,33.08479179,35.83205952,29.82678651,40.07967895,30.64599191,30.82090781,28.15246186,31.13525392,40.3361037,30.81357422,26.20175557,350.7741685
Iron and Steel Production,All,PA,CO2e,8956.816817,8093.677918,8133.418063,7638.837334,8480.771069,8718.892334,8382.188874,8342.791104,7617.697918,7638.855334,7168.986128,5221.861171,5754.831599,5351.237531,5437.850812,5277.391062,5452.711822,5562.790595,5351.090269,4271.325711,6367.562095,7278.576361,7297.345326,7790.081418,7142.801869,6382.926302,6325.345079,6046.459005,7070.106736,7554.768331,7117.448209,8422.026149,8106.604116,7750.670191
Iron and Steel Production,All,RI,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,SC,CO2e,1641.282402,1492.422434,1523.009021,1468.54078,1479.540724,1542.721279,1523.352438,1553.300587,1408.996755,1244.657442,1249.495542,1177.259727,904.3979648,1333.225615,1517.613225,1620.690389,1921.420021,2300.751589,1982.697666,1323.918863,75.50144423,122.6524152,100.7113274,108.5845659,54.92175739,93.22178993,50.66095777,60.85093263,32.73174542,56.6886769,177.4631027,173.1058939,322.1928321,2.666461165
Iron and Steel Production,All,SD,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,TN,CO2e,3452.308076,3133.093968,3194.588742,3080.338843,3103.411783,3235.936204,3195.309078,3258.126839,3237.313301,3109.284744,3187.182326,2819.853036,3136.831858,3206.78154,3127.399315,3384.280943,3752.720911,3921.225718,3716.070714,2552.82021,228.0873118,138.2305882,106.8360588,114.7364312,118.6085722,93.95380821,116.1994097,110.5248261,129.5119285,110.6560849,140.9546126,131.8229159,145.6131961,208.087468
Iron and Steel Production,All,TX,CO2e,4539.433078,4127.718516,4212.314418,4061.667014,4092.090485,4266.834272,4213.264237,4296.094355,3715.005753,3063.019193,3205.330032,3068.607636,2941.190138,2718.400285,2710.012345,2446.407623,2654.351646,3000.793089,2411.642684,1470.417669,261.2513911,286.5487856,302.0806374,234.3260061,201.8475809,248.2511599,280.3022993,275.9803086,281.9410013,396.7757045,340.042045,338.670441,347.3240559,0
Iron and Steel Production,All,UT,CO2e,546.0528001,513.6589087,479.7965139,424.4565625,496.0204479,502.958401,485.858299,476.4438786,407.1885144,282.7694048,276.8578812,110.3073973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4759659,46.9075874,129.8723466
Iron and Steel Production,All,VA,CO2e,1629.019735,1510.977158,1513.481177,1434.141663,1511.087977,1564.012117,1528.267603,1544.349453,1411.74152,1205.150629,1111.434732,866.5846748,537.188175,825.1829425,945.69813,1058.579728,1241.249357,1517.174149,1343.409475,873.8662686,238.0494934,201.5555643,132.9024694,198.6958599,244.0689998,286.0671663,217.2976772,153.9009721,145.0882389,237.7532936,273.1347184,310.8745297,261.5874777,429.9552999
Iron and Steel Production,All,VT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,WA,CO2e,497.3496576,452.2413604,461.509862,445.0046215,448.3378798,467.4831697,461.6139261,470.6889648,327.460444,213.0192062,165.2647594,64.4993056,0,82.3813221,151.273092,184.3952319,264.9135934,336.5238116,326.9515365,232.2028868,58.61847391,94.04115108,91.15125759,95.63589909,111.377836,74.52821768,61.9698842,129.0738192,90.16663905,147.5136453,0,0,0,47.53065732
Iron and Steel Production,All,WI,CO2e,1738.373082,1580.707246,1613.103194,1555.412864,1567.063513,1633.981538,1613.466926,1645.186669,1814.47707,1958.690127,2110.895576,1772.747483,1855.656012,1809.454444,1696.17632,1466.314941,1571.220314,1627.129589,1431.547576,910.2445672,55.58597512,58.74572646,54.37641707,50.89515352,62.65152598,57.8201508,62.44948021,53.49957954,43.79956564,42.18004367,0,0,0,58.42702672
Iron and Steel Production,All,WV,CO2e,2301.619338,2121.8567,2077.873327,1976.154714,2105.194391,2184.332262,2101.654872,2025.142045,1923.318765,1564.605981,1332.374625,845.7307771,243.0928232,271.8492691,257.4275439,272.8087321,276.2811847,374.9839839,393.9174038,223.8596599,626.7188827,717.1981744,420.9854675,388.6688659,441.0885844,407.9635075,331.1756495,285.0699439,308.172566,390.6669037,406.3985277,474.7131238,98.09945162,87.8150486
Iron and Steel Production,All,WY,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
