sector_code,source_code,type,msn,msn_description,unit
SC,TN,B,TNSCB,"total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
SC,WW,B,WWSCB,"wood and waste energy total consumption, adjusted for fuels with no direct cost",billion btu
SU,BF,B,BFSUB,biofuels product supplied consumed with distillate fuel oil by the transportation sector,billion btu
TC,AR,B,ARTCB,asphalt and road oil total consumption,billion btu
TC,AV,B,AVTCB,aviation gasoline total consumption,billion btu
TC,B1,B,B1TCB,renewable diesel total consumption,billion btu
TC,BD,B,BDTCB,biodiesel total consumption,billion btu
TC,BF,B,BFTCB,"biofuels total consumption, including losses and co-products from the production of biofuels",billion btu
TC,BM,B,BMTCB,biomass total consumption,billion btu
TC,BO,B,BOTCB,"other biofuels total consumption, united states only",billion btu
TC,BQ,B,BQTCB,normal butane total consumption,billion btu
TC,BY,B,BYTCB,butylene from refineries total consumption,billion btu
TC,CL,B,CLTCB,coal total consumption,billion btu
TC,DF,B,DFTCB,distillate fuel oil total consumption,billion btu
TC,DM,B,DMTCB,"distillate fuel oil, excluding biodiesel, total consumption",billion btu
TC,EM,B,EMTCB,"fuel ethanol, excluding denaturant, total consumption",billion btu
TC,EQ,B,EQTCB,ethane total consumption,billion btu
TC,ES,B,ESTCB,"electricity total consumption (i.e., retail sales)",billion btu
TC,EY,B,EYTCB,ethylene from refineries total consumption,billion btu
TC,FF,B,FFTCB,fossil fuels total consumption,billion btu
TC,GE,B,GETCB,geothermal energy total consumption,billion btu
TC,HL,B,HLTCB,hydrocarbon gas liquids total consumption,billion btu
TC,HY,B,HYTCB,hydropower total consumption,billion btu
TC,IQ,B,IQTCB,isobutane total consumption,billion btu
TC,IY,B,IYTCB,isobutylene from refineries total consumption,billion btu
TC,JF,B,JFTCB,jet fuel total consumption,billion btu
TC,KS,B,KSTCB,kerosene total consumption,billion btu
TC,LO,B,LOTCB,total electrical system energy losses,billion btu
TC,LU,B,LUTCB,lubricants total consumption,billion btu
TC,MG,B,MGTCB,motor gasoline total consumption,billion btu
TC,MM,B,MMTCB,"motor gasoline total consumption, excluding fuel ethanol",billion btu
TC,NG,B,NGTCB,natural gas total consumption,billion btu
TC,NN,B,NNTCB,natural gas total consumption (excluding supplemental gaseous fuels),billion btu
TC,OM,B,OMTCB,"other petroleum products consumption, excluding biofuels",billion btu
TC,OP,B,OPTCB,other petroleum products total consumption,billion btu
TC,P1,B,P1TCB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",billion btu
TC,PA,B,PATCB,all petroleum products total consumption,billion btu
TC,PC,B,PCTCB,petroleum coke total consumption,billion btu
TC,PM,B,PMTCB,"all petroleum products total consumption, excluding biofuels",billion btu
TC,PP,B,PPTCB,natural gasoline (pentanes plus) total consumption,billion btu
TC,PQ,B,PQTCB,propane total consumption,billion btu
TC,PY,B,PYTCB,propylene from refineries total consumption,billion btu
TC,RE,B,RETCB,renewable energy total consumption,billion btu
TC,RF,B,RFTCB,residual fuel oil total consumption,billion btu
TC,SF,B,SFTCB,supplemental gaseous fuels total consumption,billion btu
TC,SO,B,SOTCB,solar energy total consumption,billion btu
TC,TE,B,TETCB,total energy consumption,billion btu
TC,WD,B,WDTCB,wood energy total consumption,billion btu
TC,WS,B,WSTCB,waste energy total consumption,billion btu
TC,WW,B,WWTCB,wood and waste energy total consumption,billion btu
TC,WY,B,WYTCB,wind energy total consumption,billion btu
TP,NG,B,NGTPB,natural gas total consumption per capita,million btu
TP,PA,B,PATPB,all petroleum products total consumption per capita,million btu
TP,TE,B,TETPB,total energy consumption per capita,million btu
TX,AR,B,ARTXB,asphalt and road oil total end-use consumption,billion btu
TX,AV,B,AVTXB,aviation gasoline total end-use consumption,billion btu
TX,CL,B,CLTXB,coal total end-use consumption,billion btu
TX,DF,B,DFTXB,distillate fuel oil total end-use consumption,billion btu
TX,ES,B,ESTXB,"electricity total end-use consumption (i.e., retail sales)",billion btu
TX,GE,B,GETXB,geothermal energy total end-use consumption,billion btu
TX,HL,B,HLTXB,hydrocarbon gas liquids total end-use consumption,billion btu
TX,HY,B,HYTXB,hydropower total end-use consumption,billion btu
TX,JF,B,JFTXB,jet fuel total end-use consumption,billion btu
TX,KS,B,KSTXB,kerosene total end-use consumption,billion btu
TX,LO,B,LOTXB,total electrical system energy losses allocated to the end-use sectors,billion btu
TX,LU,B,LUTXB,lubricants total end-use consumption,billion btu
TX,MG,B,MGTXB,motor gasoline total end-use consumption,billion btu
TX,NG,B,NGTXB,natural gas total end-use consumption,billion btu
TX,OP,B,OPTXB,other petroleum products total end-use consumption,billion btu
TX,P1,B,P1TXB,"asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",billion btu
TX,PA,B,PATXB,all petroleum products total end-use consumption,billion btu
TX,PC,B,PCTXB,petroleum coke total end-use consumption,billion btu
TX,PQ,B,PQTXB,propane total end-use consumption,billion btu
TX,RF,B,RFTXB,residual fuel oil total end-use consumption,billion btu
TX,SO,B,SOTXB,solar energy total end-use consumption,billion btu
TX,TE,B,TETXB,total end-use energy consumption,billion btu
TX,TN,B,TNTXB,total primary energy and electricity consumed by the end-use sectors,billion btu
TX,WW,B,WWTXB,wood and waste energy total end-use consumption,billion btu
TX,WY,B,WYTXB,wind energy total end-use consumption,billion btu
